State/territory,PHN Code,PHN name,Age group,Participants,Population,Participation (%),Year
Vic,PHN206,Western Victoria,35–39,"10,382","17,226",60.3,2015-2016
Vic,PHN206,Western Victoria,40–44,"11,137","18,764",59.4,2015-2016
Vic,PHN206,Western Victoria,45–49,"10,940","17,993",60.8,2015-2016
Vic,PHN206,Western Victoria,50–54,"10,936","17,544",62.3,2015-2016
Vic,PHN206,Western Victoria,55–59,"10,121","16,569",61.1,2015-2016
Vic,PHN206,Western Victoria,60–64,"9,189","14,844",61.9,2015-2016
Vic,PHN206,Western Victoria,65–69,"7,584","13,179",57.5,2015-2016
Vic,PHN206,Western Victoria,20–69,"99,133","171,384",57.8,2015-2016
Qld,PHN301,Brisbane North,20–24,"16,012","39,798",40.2,2015-2016
Qld,PHN301,Brisbane North,25–29,"19,083","38,876",49.1,2015-2016
Qld,PHN301,Brisbane North,30–34,"20,327","36,390",55.9,2015-2016
Qld,PHN301,Brisbane North,35–39,"18,907","32,262",58.6,2015-2016
Qld,PHN301,Brisbane North,40–44,"19,422","32,653",59.5,2015-2016
Qld,PHN301,Brisbane North,45–49,"17,214","28,529",60.3,2015-2016
Qld,PHN301,Brisbane North,50–54,"15,132","24,862",60.9,2015-2016
Qld,PHN301,Brisbane North,55–59,"12,494","21,312",58.6,2015-2016
Qld,PHN301,Brisbane North,60–64,"10,046","18,215",55.2,2015-2016
Qld,PHN301,Brisbane North,65–69,"8,042","16,077",50.0,2015-2016
Qld,PHN301,Brisbane North,20–69,"156,679","288,975",54.2,2015-2016
Qld,PHN302,Brisbane South,20–24,"15,717","42,659",36.8,2015-2016
Qld,PHN302,Brisbane South,25–29,"20,265","44,334",45.7,2015-2016
Qld,PHN302,Brisbane South,30–34,"23,001","43,418",53.0,2015-2016
Qld,PHN302,Brisbane South,35–39,"21,107","37,697",56.0,2015-2016
Qld,PHN302,Brisbane South,40–44,"21,072","36,490",57.7,2015-2016
Qld,PHN302,Brisbane South,45–49,"19,467","32,608",59.7,2015-2016
Qld,PHN302,Brisbane South,50–54,"17,266","28,934",59.7,2015-2016
Qld,PHN302,Brisbane South,55–59,"14,694","24,998",58.8,2015-2016
Qld,PHN302,Brisbane South,60–64,"11,534","20,599",56.0,2015-2016
Qld,PHN302,Brisbane South,65–69,"8,673","17,144",50.6,2015-2016
Qld,PHN302,Brisbane South,20–69,"172,798","328,881",52.5,2015-2016
Qld,PHN303,Gold Coast,20–24,"9,171","20,694",44.3,2015-2016
Qld,PHN303,Gold Coast,25–29,"10,620","21,298",49.9,2015-2016
Qld,PHN303,Gold Coast,30–34,"11,512","20,651",55.7,2015-2016
Qld,PHN303,Gold Coast,35–39,"10,901","19,096",57.1,2015-2016
Qld,PHN303,Gold Coast,40–44,"11,293","19,642",57.5,2015-2016
Qld,PHN303,Gold Coast,45–49,"10,448","17,772",58.8,2015-2016
Qld,PHN303,Gold Coast,50–54,"9,362","15,909",58.8,2015-2016
Qld,PHN303,Gold Coast,55–59,"8,106","14,231",57.0,2015-2016
Qld,PHN303,Gold Coast,60–64,"6,634","12,105",54.8,2015-2016
Qld,PHN303,Gold Coast,65–69,"5,477","11,054",49.6,2015-2016
Qld,PHN303,Gold Coast,20–69,"93,523","172,452",54.2,2015-2016
Qld,PHN304,Darling Downs and West Moreton,20–24,"7,293","18,098",40.3,2015-2016
Qld,PHN304,Darling Downs and West Moreton,25–29,"8,447","18,476",45.7,2015-2016
Qld,PHN304,Darling Downs and West Moreton,30–34,"9,145","18,210",50.2,2015-2016
Qld,PHN304,Darling Downs and West Moreton,35–39,"8,248","16,137",51.1,2015-2016
Qld,PHN304,Darling Downs and West Moreton,40–44,"8,409","16,752",50.2,2015-2016
Qld,PHN304,Darling Downs and West Moreton,45–49,"7,872","15,657",50.3,2015-2016
Qld,PHN304,Darling Downs and West Moreton,50–54,"7,348","14,530",50.6,2015-2016
Qld,PHN304,Darling Downs and West Moreton,55–59,"6,599","13,101",50.4,2015-2016
Qld,PHN304,Darling Downs and West Moreton,60–64,"5,302","11,114",47.7,2015-2016
Qld,PHN304,Darling Downs and West Moreton,65–69,"4,160","9,679",43.0,2015-2016
Qld,PHN304,Darling Downs and West Moreton,20–69,"72,822","151,754",48.0,2015-2016
Qld,PHN305,Western Queensland,20–24,979,"2,145",45.7,2015-2016
Qld,PHN305,Western Queensland,25–29,"1,282","2,591",49.5,2015-2016
Qld,PHN305,Western Queensland,30–34,"1,281","2,453",52.2,2015-2016
Qld,PHN305,Western Queensland,35–39,"1,023","1,920",53.3,2015-2016
Qld,PHN305,Western Queensland,40–44,992,"1,872",53.0,2015-2016
Qld,PHN305,Western Queensland,45–49,926,"1,818",50.9,2015-2016
Qld,PHN305,Western Queensland,50–54,901,"1,791",50.3,2015-2016
Qld,PHN305,Western Queensland,55–59,720,"1,473",48.9,2015-2016
Qld,PHN305,Western Queensland,60–64,511,"1,109",46.1,2015-2016
Qld,PHN305,Western Queensland,65–69,328,832,39.4,2015-2016
Qld,PHN305,Western Queensland,20–69,"8,944","18,004",49.7,2015-2016
Qld,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",20–24,"10,646","22,472",47.4,2015-2016
Qld,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",25–29,"11,807","23,290",50.7,2015-2016
Qld,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",30–34,"13,149","24,392",53.9,2015-2016
Qld,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",35–39,"12,695","23,194",54.7,2015-2016
Qld,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",40–44,"14,513","25,836",56.2,2015-2016
Qld,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",45–49,"14,336","24,847",57.7,2015-2016
Qld,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",50–54,"14,288","24,628",58.0,2015-2016
Qld,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",55–59,"12,918","22,656",57.0,2015-2016
Qld,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",60–64,"11,122","20,013",55.6,2015-2016
Qld,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",65–69,"9,071","18,377",49.4,2015-2016
Qld,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",20–69,"124,545","229,706",54.2,2015-2016
Qld,PHN307,Northern Queensland,20–24,"10,654","23,030",46.3,2015-2016
Qld,PHN307,Northern Queensland,25–29,"12,698","24,484",51.9,2015-2016
Qld,PHN307,Northern Queensland,30–34,"13,238","23,932",55.3,2015-2016
Qld,PHN307,Northern Queensland,35–39,"12,078","21,622",55.9,2015-2016
Qld,PHN307,Northern Queensland,40–44,"12,851","22,279",57.7,2015-2016
Qld,PHN307,Northern Queensland,45–49,"11,873","20,356",58.3,2015-2016
Qld,PHN307,Northern Queensland,50–54,"11,240","19,035",59.0,2015-2016
Qld,PHN307,Northern Queensland,55–59,"9,708","16,778",57.9,2015-2016
Qld,PHN307,Northern Queensland,60–64,"7,384","13,474",54.8,2015-2016
Qld,PHN307,Northern Queensland,65–69,"5,277","10,770",49.0,2015-2016
Qld,PHN307,Northern Queensland,20–69,"107,001","195,761",54.7,2015-2016
WA,PHN501,Perth North,20–24,"16,861","36,535",46.1,2015-2016
WA,PHN501,Perth North,25–29,"23,465","43,622",53.8,2015-2016
WA,PHN501,Perth North,30–34,"24,482","41,500",59.0,2015-2016
WA,PHN501,Perth North,35–39,"21,586","35,062",61.6,2015-2016
WA,PHN501,Perth North,40–44,"21,090","34,139",61.8,2015-2016
WA,PHN501,Perth North,45–49,"19,728","31,296",63.0,2015-2016
WA,PHN501,Perth North,50–54,"17,407","27,741",62.7,2015-2016
WA,PHN501,Perth North,55–59,"14,458","24,023",60.2,2015-2016
WA,PHN501,Perth North,60–64,"11,639","19,879",58.6,2015-2016
WA,PHN501,Perth North,65–69,"8,652","16,640",52.0,2015-2016
WA,PHN501,Perth North,20–69,"179,367","310,437",57.8,2015-2016
WA,PHN502,Perth South,20–24,"14,976","34,548",43.4,2015-2016
WA,PHN502,Perth South,25–29,"19,486","38,875",50.1,2015-2016
WA,PHN502,Perth South,30–34,"20,644","38,122",54.2,2015-2016
WA,PHN502,Perth South,35–39,"18,226","31,875",57.2,2015-2016
WA,PHN502,Perth South,40–44,"17,338","30,117",57.6,2015-2016
WA,PHN502,Perth South,45–49,"16,088","27,337",58.9,2015-2016
WA,PHN502,Perth South,50–54,"14,593","24,687",59.1,2015-2016
WA,PHN502,Perth South,55–59,"12,290","21,694",56.7,2015-2016
WA,PHN502,Perth South,60–64,"10,068","18,537",54.3,2015-2016
WA,PHN502,Perth South,65–69,"7,577","15,285",49.6,2015-2016
WA,PHN502,Perth South,20–69,"151,288","281,076",53.8,2015-2016
WA,PHN503,Country WA,20–24,"6,597","13,827",47.7,2015-2016
WA,PHN503,Country WA,25–29,"8,784","17,883",49.1,2015-2016
WA,PHN503,Country WA,30–34,"9,511","18,550",51.3,2015-2016
WA,PHN503,Country WA,35–39,"8,913","16,567",53.8,2015-2016
WA,PHN503,Country WA,40–44,"8,953","16,617",53.9,2015-2016
WA,PHN503,Country WA,45–49,"8,535","15,675",54.5,2015-2016
WA,PHN503,Country WA,50–54,"7,884","14,687",53.7,2015-2016
WA,PHN503,Country WA,55–59,"7,105","13,374",53.1,2015-2016
WA,PHN503,Country WA,60–64,"5,408","10,970",49.3,2015-2016
WA,PHN503,Country WA,65–69,"4,069","8,744",46.5,2015-2016
WA,PHN503,Country WA,20–69,"75,757","146,894",51.6,2015-2016
SA,PHN401,Adelaide,20–24,"18,453","43,888",42.0,2015-2016
SA,PHN401,Adelaide,25–29,"22,935","44,514",51.5,2015-2016
SA,PHN401,Adelaide,30–34,"24,682","43,323",57.0,2015-2016
SA,PHN401,Adelaide,35–39,"22,410","37,193",60.3,2015-2016
SA,PHN401,Adelaide,40–44,"22,691","36,028",63.0,2015-2016
SA,PHN401,Adelaide,45–49,"22,101","34,766",63.6,2015-2016
SA,PHN401,Adelaide,50–54,"20,745","32,574",63.7,2015-2016
SA,PHN401,Adelaide,55–59,"18,914","30,082",62.9,2015-2016
SA,PHN401,Adelaide,60–64,"15,907","25,773",61.7,2015-2016
SA,PHN401,Adelaide,65–69,"12,948","22,769",56.9,2015-2016
SA,PHN401,Adelaide,20–69,"201,786","350,910",57.5,2015-2016
SA,PHN402,Country SA,20–24,"6,184","12,540",49.3,2015-2016
SA,PHN402,Country SA,25–29,"6,848","12,978",52.8,2015-2016
SA,PHN402,Country SA,30–34,"7,546","13,314",56.7,2015-2016
SA,PHN402,Country SA,35–39,"7,543","12,758",59.1,2015-2016
SA,PHN402,Country SA,40–44,"8,569","14,371",59.6,2015-2016
SA,PHN402,Country SA,45–49,"8,721","14,611",59.7,2015-2016
SA,PHN402,Country SA,50–54,"8,595","14,418",59.6,2015-2016
SA,PHN402,Country SA,55–59,"8,178","13,770",59.4,2015-2016
SA,PHN402,Country SA,60–64,"7,177","12,310",58.3,2015-2016
SA,PHN402,Country SA,65–69,"6,040","11,176",54.0,2015-2016
SA,PHN402,Country SA,20–69,"75,402","132,247",57.0,2015-2016
Tas,PHN601,Tasmania,20–24,"7,106","15,413",46.1,2015-2016
Tas,PHN601,Tasmania,25–29,"8,145","15,213",53.5,2015-2016
Tas,PHN601,Tasmania,30–34,"8,649","15,153",57.1,2015-2016
Tas,PHN601,Tasmania,35–39,"8,241","14,099",58.5,2015-2016
Tas,PHN601,Tasmania,40–44,"9,118","15,381",59.3,2015-2016
Tas,PHN601,Tasmania,45–49,"8,959","15,099",59.3,2015-2016
Tas,PHN601,Tasmania,50–54,"8,711","15,030",58.0,2015-2016
Tas,PHN601,Tasmania,55–59,"8,261","14,520",56.9,2015-2016
Tas,PHN601,Tasmania,60–64,"7,085","12,737",55.6,2015-2016
Tas,PHN601,Tasmania,65–69,"5,547","11,282",49.2,2015-2016
Tas,PHN601,Tasmania,20–69,"79,822","143,926",55.5,2015-2016
ACT,PHN801,Australian Capital Territory,20–24,"6,159","16,172",38.1,2015-2016
ACT,PHN801,Australian Capital Territory,25–29,"8,408","17,354",48.4,2015-2016
ACT,PHN801,Australian Capital Territory,30–34,"9,345","17,024",54.9,2015-2016
ACT,PHN801,Australian Capital Territory,35–39,"8,278","14,204",58.3,2015-2016
ACT,PHN801,Australian Capital Territory,40–44,"7,788","13,089",59.5,2015-2016
ACT,PHN801,Australian Capital Territory,45–49,"7,005","11,242",62.3,2015-2016
ACT,PHN801,Australian Capital Territory,50–54,"6,384","10,074",63.4,2015-2016
ACT,PHN801,Australian Capital Territory,55–59,"5,355","8,795",60.9,2015-2016
ACT,PHN801,Australian Capital Territory,60–64,"4,438","7,244",61.3,2015-2016
ACT,PHN801,Australian Capital Territory,65–69,"3,545","6,179",57.4,2015-2016
ACT,PHN801,Australian Capital Territory,20–69,"66,706","121,376",55.0,2015-2016
NT,PHN701,Northern Territory,20–24,"4,116","8,882",46.3,2015-2016
NT,PHN701,Northern Territory,25–29,"5,752","11,805",48.7,2015-2016
NT,PHN701,Northern Territory,30–34,"5,703","11,133",51.2,2015-2016
NT,PHN701,Northern Territory,35–39,"4,762","8,917",53.4,2015-2016
NT,PHN701,Northern Territory,40–44,"4,211","7,860",53.6,2015-2016
NT,PHN701,Northern Territory,45–49,"3,994","7,142",55.9,2015-2016
NT,PHN701,Northern Territory,50–54,"3,272","6,128",53.4,2015-2016
NT,PHN701,Northern Territory,55–59,"2,594","5,096",50.9,2015-2016
NT,PHN701,Northern Territory,60–64,"1,780","3,737",47.6,2015-2016
NT,PHN701,Northern Territory,65–69,"1,028","2,373",43.3,2015-2016
NT,PHN701,Northern Territory,20–69,"37,212","73,073",50.9,2015-2016
NSW,PHN101,Central and Eastern Sydney,25–29,"52,301","80,264",65.2,2018-2021
NSW,PHN101,Central and Eastern Sydney,30–34,"49,509","75,481",65.6,2018-2021
NSW,PHN101,Central and Eastern Sydney,35–39,"40,064","60,756",65.9,2018-2021
NSW,PHN101,Central and Eastern Sydney,40–44,"32,099","48,436",66.3,2018-2021
NSW,PHN101,Central and Eastern Sydney,45–49,"30,891","45,093",68.5,2018-2021
NSW,PHN101,Central and Eastern Sydney,50–54,"25,538","37,670",67.8,2018-2021
NSW,PHN101,Central and Eastern Sydney,55–59,"23,467","34,574",67.9,2018-2021
NSW,PHN101,Central and Eastern Sydney,60–64,"19,181","29,170",65.8,2018-2021
NSW,PHN101,Central and Eastern Sydney,65–69,"14,310","23,952",59.7,2018-2021
NSW,PHN101,Central and Eastern Sydney,70–74,"6,944","20,669",33.6,2018-2021
NSW,PHN101,Central and Eastern Sydney,25–74,"294,304","456,065",64.5,2018-2021
NSW,PHN102,Northern Sydney,25–29,"21,090","29,588",71.3,2018-2021
NSW,PHN102,Northern Sydney,30–34,"23,088","33,738",68.4,2018-2021
NSW,PHN102,Northern Sydney,35–39,"24,255","34,973",69.4,2018-2021
NSW,PHN102,Northern Sydney,40–44,"22,550","32,155",70.1,2018-2021
NSW,PHN102,Northern Sydney,45–49,"22,672","30,521",74.3,2018-2021
NSW,PHN102,Northern Sydney,50–54,"19,178","25,806",74.3,2018-2021
NSW,PHN102,Northern Sydney,55–59,"17,189","22,894",75.1,2018-2021
NSW,PHN102,Northern Sydney,60–64,"13,929","19,087",73.0,2018-2021
NSW,PHN102,Northern Sydney,65–69,"10,754","16,031",67.1,2018-2021
NSW,PHN102,Northern Sydney,70–74,"5,018","14,407",34.8,2018-2021
NSW,PHN102,Northern Sydney,25–74,"179,724","259,201",69.3,2018-2021
NSW,PHN103,Western Sydney,25–29,"20,830","39,928",52.2,2018-2021
NSW,PHN103,Western Sydney,30–34,"24,800","44,437",55.8,2018-2021
NSW,PHN103,Western Sydney,35–39,"23,815","42,896",55.5,2018-2021
NSW,PHN103,Western Sydney,40–44,"18,745","32,896",57.0,2018-2021
NSW,PHN103,Western Sydney,45–49,"16,935","27,877",60.7,2018-2021
NSW,PHN103,Western Sydney,50–54,"14,234","23,401",60.8,2018-2021
NSW,PHN103,Western Sydney,55–59,"12,635","21,170",59.7,2018-2021
NSW,PHN103,Western Sydney,60–64,"10,418","17,944",58.1,2018-2021
NSW,PHN103,Western Sydney,65–69,"7,459","14,416",51.7,2018-2021
NSW,PHN103,Western Sydney,70–74,"3,372","11,616",29.0,2018-2021
NSW,PHN103,Western Sydney,25–74,"153,245","276,582",55.4,2018-2021
NSW,PHN104,Nepean Blue Mountains,25–29,"8,155","13,061",62.4,2018-2021
NSW,PHN104,Nepean Blue Mountains,30–34,"7,762","13,400",57.9,2018-2021
NSW,PHN104,Nepean Blue Mountains,35–39,"7,152","12,658",56.5,2018-2021
NSW,PHN104,Nepean Blue Mountains,40–44,"6,381","11,144",57.3,2018-2021
NSW,PHN104,Nepean Blue Mountains,45–49,"6,542","11,114",58.9,2018-2021
NSW,PHN104,Nepean Blue Mountains,50–54,"5,793","9,685",59.8,2018-2021
NSW,PHN104,Nepean Blue Mountains,55–59,"5,577","9,410",59.3,2018-2021
NSW,PHN104,Nepean Blue Mountains,60–64,"4,766","8,384",56.9,2018-2021
NSW,PHN104,Nepean Blue Mountains,65–69,"3,633","6,965",52.2,2018-2021
NSW,PHN104,Nepean Blue Mountains,70–74,"1,584","5,861",27.0,2018-2021
NSW,PHN104,Nepean Blue Mountains,25–74,"57,346","101,682",56.4,2018-2021
NSW,PHN105,South Western Sydney,25–29,"21,382","37,552",56.9,2018-2021
NSW,PHN105,South Western Sydney,30–34,"21,502","38,451",55.9,2018-2021
NSW,PHN105,South Western Sydney,35–39,"20,211","36,295",55.7,2018-2021
NSW,PHN105,South Western Sydney,40–44,"18,173","30,951",58.7,2018-2021
NSW,PHN105,South Western Sydney,45–49,"17,761","29,112",61.0,2018-2021
NSW,PHN105,South Western Sydney,50–54,"15,154","25,340",59.8,2018-2021
NSW,PHN105,South Western Sydney,55–59,"14,193","24,205",58.6,2018-2021
NSW,PHN105,South Western Sydney,60–64,"11,597","20,868",55.6,2018-2021
NSW,PHN105,South Western Sydney,65–69,"8,288","16,493",50.3,2018-2021
NSW,PHN105,South Western Sydney,70–74,"3,704","13,159",28.1,2018-2021
NSW,PHN105,South Western Sydney,25–74,"151,965","272,426",55.8,2018-2021
NSW,PHN106,South Eastern NSW,25–29,"13,296","18,800",70.7,2018-2021
NSW,PHN106,South Eastern NSW,30–34,"11,789","18,940",62.2,2018-2021
NSW,PHN106,South Eastern NSW,35–39,"11,012","18,000",61.2,2018-2021
NSW,PHN106,South Eastern NSW,40–44,"10,653","16,634",64.0,2018-2021
NSW,PHN106,South Eastern NSW,45–49,"11,583","17,590",65.9,2018-2021
NSW,PHN106,South Eastern NSW,50–54,"10,461","16,250",64.4,2018-2021
NSW,PHN106,South Eastern NSW,55–59,"11,058","16,981",65.1,2018-2021
NSW,PHN106,South Eastern NSW,60–64,"10,098","15,895",63.5,2018-2021
NSW,PHN106,South Eastern NSW,65–69,"8,114","13,880",58.5,2018-2021
NSW,PHN106,South Eastern NSW,70–74,"3,953","11,993",33.0,2018-2021
NSW,PHN106,South Eastern NSW,25–74,"102,016","164,961",61.8,2018-2021
NSW,PHN107,Western NSW,25–29,"6,430","10,022",64.2,2018-2021
NSW,PHN107,Western NSW,30–34,"5,437","9,613",56.6,2018-2021
NSW,PHN107,Western NSW,35–39,"4,764","8,672",54.9,2018-2021
NSW,PHN107,Western NSW,40–44,"4,271","7,761",55.0,2018-2021
NSW,PHN107,Western NSW,45–49,"4,632","8,221",56.3,2018-2021
NSW,PHN107,Western NSW,50–54,"4,307","7,739",55.7,2018-2021
NSW,PHN107,Western NSW,55–59,"4,515","7,881",57.3,2018-2021
NSW,PHN107,Western NSW,60–64,"3,988","7,120",56.0,2018-2021
NSW,PHN107,Western NSW,65–69,"3,212","6,001",53.5,2018-2021
NSW,PHN107,Western NSW,70–74,"1,490","5,441",27.4,2018-2021
NSW,PHN107,Western NSW,25–74,"43,045","78,472",54.9,2018-2021
NSW,PHN108,Hunter New England and Central Coast,25–29,"28,849","39,831",72.4,2018-2021
NSW,PHN108,Hunter New England and Central Coast,30–34,"25,034","39,474",63.4,2018-2021
NSW,PHN108,Hunter New England and Central Coast,35–39,"23,401","37,635",62.2,2018-2021
NSW,PHN108,Hunter New England and Central Coast,40–44,"21,656","34,085",63.5,2018-2021
NSW,PHN108,Hunter New England and Central Coast,45–49,"23,086","35,408",65.2,2018-2021
