State_and_territory,SA3_name,Latitude,Longitude
NSW,Goulburn - Yass,-34.711018,148.555243
NSW,Queanbeyan,-34.764484,149.286631
NSW,Snowy Mountains,-36.50661,148.301005
NSW,South Coast,-35.939649,149.912199
NSW,Gosford,-33.482209,151.401999
NSW,Wyong,-33.333187,151.3433
NSW,Bathurst,-34.196526,149.254163
NSW,Lachlan Valley,-33.839275,147.308172
NSW,Lithgow - Mudgee,-31.924969,149.319295
NSW,Orange,-33.634941,149.164475
NSW,Clarence Valley,-29.829194,153.187047
NSW,Coffs Harbour,-30.097726,152.658268
NSW,Bourke - Cobar - Coonamble,-33.24358,146.40002
NSW,Broken Hill and Far West,-31.498123,143.270562
NSW,Dubbo,-31.51588428,149.781025
NSW,Lower Hunter,-32.3438,151.522527
NSW,Maitland,-32.785207,151.453148
NSW,Port Stephens,-32.797453,151.840094
NSW,Upper Hunter,-32.57693,150.564817
NSW,Dapto - Port Kembla,-34.494723,150.873081
NSW,Illawarra Catchment Reserve,,
NSW,Kiama - Shellharbour,-34.548722,150.855135
NSW,Wollongong,-34.423171,150.874294
NSW,Great Lakes,-32.623108,152.332617
NSW,Kempsey - Nambucca,-30.925233,153.053789
NSW,Lord Howe Island,-31.55247,159.081217
NSW,Port Macquarie,-31.654722,152.652155
NSW,Taree - Gloucester,-32.16165072,152.3722113
NSW,Albury,-36.038655,146.930436
NSW,Lower Murray,-33.29624634,141.8018461
NSW,Upper Murray exc. Albury,-35.936556,146.617535
NSW,Armidale,-30.493397,151.906153
NSW,Inverell - Tenterfield,-30.115913,151.673028
NSW,Moree - Narrabri,-30.619798,148.96949
NSW,Tamworth - Gunnedah,-31.735174,151.029159
NSW,Lake Macquarie - East,-33.019715,151.663175
NSW,Lake Macquarie - West,-33.208801,151.377213
NSW,Newcastle,-32.933305,151.651095
NSW,Richmond Valley - Coastal,-29.2343298,153.3210837
NSW,Richmond Valley - Hinterland,-29.05366265,152.5892786
NSW,Tweed Valley,-28.499375,152.88504
NSW,Griffith - Murrumbidgee (West),-33.814887,146.667476
NSW,Tumut - Tumbarumba,-34.75833012,148.9655031
NSW,Wagga Wagga,-34.599488,148.255601
NSW,Shoalhaven,-34.1336,151.1041
NSW,Southern Highlands,-34.583539,150.754592
NSW,Baulkham Hills,-33.735906,151.030535
NSW,Dural - Wisemans Ferry,-33.656984,150.974528
NSW,Hawkesbury,-33.325373,151.189243
NSW,Rouse Hill - McGraths Hill,,
NSW,Blacktown,-33.760263,150.966912
NSW,Blacktown - North,-33.731523,150.931074
NSW,Mount Druitt,-33.742006,150.84746
NSW,Botany,-33.947087,151.197644
NSW,Marrickville - Sydenham - Petersham,-33.926669,151.210791
NSW,Sydney Inner City,-33.794883,151.268071
NSW,Eastern Suburbs - North,-33.88871,151.240508
NSW,Eastern Suburbs - South,-33.888549,151.140735
NSW,Bankstown,-33.908788,150.986277
NSW,Canterbury,-33.907417,151.024581
NSW,Hurstville,-33.94913,151.075304
NSW,Kogarah - Rockdale,-33.935923,151.100027
NSW,Canada Bay,-33.842999,151.151958
NSW,Leichhardt,-33.881624,151.170165
NSW,Strathfield - Burwood - Ashfield,-33.89194485,151.0477059
NSW,Chatswood - Lane Cove,-33.812636,151.214797
NSW,Hornsby,-33.707684,151.099812
NSW,Ku-ring-gai,-33.780246,151.195368
NSW,North Sydney - Mosman,-33.865367,151.193071
NSW,Manly,-33.329799,151.505125
NSW,Pittwater,-33.698773,151.216799
NSW,Warringah,-33.793137,151.246751
NSW,Camden,,
NSW,Campbelltown (NSW),-33.960035,150.802088
NSW,Wollondilly,-34.194216,150.768408
NSW,Blue Mountains,-33.483614,150.601824
NSW,Blue Mountains - South,-34.726283,149.729215
NSW,Penrith,-33.77413222,150.7376907
NSW,Richmond - Windsor,-33.604022,150.646053
NSW,St Marys,-33.859047,151.19554
NSW,Auburn,-33.82328,151.051375
NSW,Carlingford,-33.950299,151.206982
NSW,Merrylands - Guildford,-33.858335,150.983724
NSW,Parramatta,-33.886166,151.139472
NSW,Pennant Hills - Epping,-33.758433,151.049106
NSW,Ryde - Hunters Hill,-33.7932,151.12
NSW,Bringelly - Green Valley,-33.933109,150.812031
NSW,Fairfield,-33.8498,150.911
NSW,Liverpool,-33.888327,151.103632
NSW,Cronulla - Miranda - Caringbah,-34.035878,151.107201
NSW,Sutherland - Menai - Heathcote,-34.015705,151.0622
Vic,Ballarat,-37.571941,143.864505
Vic,Creswick - Daylesford - Ballan,-37.5878,144.123664
Vic,Maryborough - Pyrenees,-37.252718,143.815613
Vic,Bendigo,-36.764269,144.285267
Vic,Heathcote - Castlemaine - Kyneton,-37.334655,143.907186
Vic,Loddon - Elmore,-36.957983,144.05651
Vic,Barwon - West,-38.263005,144.174411
Vic,Geelong,-38.039958,144.422666
Vic,Surf Coast - Bellarine Peninsula,-38.215906,144.334005
Vic,Upper Goulburn Valley,-37.171788,144.544716
Vic,Wangaratta - Benalla,-36.786777,145.565512
Vic,Wodonga - Alpine,-36.016196,147.026549
Vic,Baw Baw,-38.096289,145.867337
Vic,Gippsland - East,-36.865206,148.701564
Vic,Gippsland - South West,-38.290637,146.175271
Vic,Latrobe Valley,-38.245215,146.424457
Vic,Wellington,-36.894465,146.256507
Vic,Brunswick - Coburg,-37.766292,144.960108
Vic,Darebin - South,-37.759426,145.007006
Vic,Essendon,-37.766184,144.922995
Vic,Melbourne City,-37.81443733,144.9825846
Vic,Port Phillip,-37.81443733,144.9825846
Vic,Stonnington - West,-37.840679,144.991264
Vic,Yarra,-37.786971,144.96724
Vic,Boroondara,-37.807397,145.036575
Vic,Manningham - West,-37.758335,145.142675
Vic,Whitehorse - West,-37.793695,145.081714
Vic,Bayside,-37.915066,144.996329
Vic,Glen Eira,-37.873733,145.019929
Vic,Kingston,-37.942021,145.047802
Vic,Stonnington - East,-37.822725,145.030602
Vic,Banyule,-37.772675,145.048573
Vic,Darebin - North,-37.74247,145.005702
Vic,Nillumbik - Kinglake,-37.711787,145.082426
Vic,Whittlesea - Wallan,-37.66607,145.002679
Vic,Keilor,-37.761235,144.86194
Vic,Macedon Ranges,-37.448455,144.792581
Vic,Moreland - North,-37.731464,144.904815
Vic,Sunbury,-37.56762,144.728973
Vic,Tullamarine - Broadmeadows,-37.691916,144.888368
Vic,Knox,-37.864951,145.221695
Vic,Manningham - East,-37.784786,145.161649
Vic,Maroondah,-37.778595,145.212599
Vic,Whitehorse - East,-37.817798,145.174489
Vic,Yarra Ranges,-37.737629,145.313086
Vic,Cardinia,-37.814506,145.532666
Vic,Casey - North,-37.917932,145.292895
Vic,Casey - South,-38.037026,145.304198
Vic,Dandenong,-38.02243,145.23738
Vic,Monash,-37.851305,145.101
Vic,Brimbank,-37.777204,144.829945
Vic,Hobsons Bay,-37.838242,144.880556
Vic,Maribyrnong,-37.807101,144.907953
Vic,Melton - Bacchus Marsh,-37.78272,144.770641
Vic,Wyndham,-37.75045631,144.649936
Vic,Frankston,-38.072748,145.134111
Vic,Mornington Peninsula,-38.162578,145.135961
Vic,Grampians,-36.873961,141.051389
Vic,Mildura,-34.164709,142.225122
Vic,Murray River - Swan Hill,-33.81289825,142.6742276
Vic,Campaspe,-35.893394,144.641831
Vic,Moira,-35.754185,145.872814
Vic,Shepparton,-36.740713,145.095753
Vic,Glenelg - Southern Grampians,-38.038873,141.051987
Vic,Warrnambool - Otway Ranges,-37.9406,144.2894
Qld,Capalaba,-27.5181,153.156446
Qld,Cleveland - Stradbroke,-27.162277,153.393497
Qld,Wynnum - Manly,-27.49069,153.158727
Qld,Bald Hills - Everton Park,,
Qld,Chermside,-27.385605,153.019449
Qld,Nundah,-27.38837225,153.1132012
Qld,Sandgate,-27.318074,153.047339
Qld,Carindale,-27.510035,153.131429
Qld,Holland Park - Yeronga,-27.515758,153.011535
Qld,Mt Gravatt,-27.558858,153.154177
Qld,Nathan,-27.512175,153.028768
Qld,Rocklea - Acacia Ridge,-27.534438,153.018893
Qld,Sunnybank,-27.568359,153.020197
Qld,Centenary,-27.549179,152.951385
Qld,Kenmore - Brookfield - Moggill,,
Qld,Sherwood - Indooroopilly,-27.500518,153.005045
Qld,The Gap - Enoggera,,
Qld,Brisbane Inner,-27.484254,153.009661
Qld,Brisbane Inner - East,-27.495458,153.0328
Qld,Brisbane Inner - North,-27.470078,153.045194
Qld,Brisbane Inner - West,-27.468391,153.022126
Qld,Cairns - North,-16.839378,145.711531
Qld,Cairns - South,-17.095516,145.782765
Qld,Innisfail - Cassowary Coast,-18.265652,146.027929
Qld,Port Douglas - Daintree,-16.230854,145.299094
Qld,Tablelands (East) - Kuranda,-28.8531,151.6717
Qld,Darling Downs (West) - Maranoa,-28.893724,148.847796
Qld,Darling Downs - East,-27.256984,151.904578
Qld,Granite Belt,-28.96166715,151.7288939
Qld,Central Highlands (Qld),-23.059653,148.429161
Qld,Gladstone - Biloela,-26.14972587,149.5515967
Qld,Rockhampton,-23.657893,150.643168
Qld,Broadbeach - Burleigh,,
Qld,Coolangatta,-28.184241,153.526816
Qld,Gold Coast - North,,
Qld,Gold Coast Hinterland,-28.38059,153.31648
Qld,Mudgeeraba - Tallebudgera,-28.127323,153.45837
Qld,Nerang,-28.110164,153.318916
Qld,Ormeau - Oxenford,-27.767029,153.27631
Qld,Robina,-28.035453,153.241258
Qld,Southport,-27.967005,153.365576
Qld,Surfers Paradise,-28.008783,153.412197
Qld,Forest Lake - Oxley,-27.554082,152.921521
Qld,Ipswich Hinterland,-27.851804,152.592399
Qld,Ipswich Inner,-27.502784,152.898911
Qld,Springfield - Redbank,-27.682273,152.884999
Qld,Beaudesert,-28.111411,153.134987
Qld,Beenleigh,,
Qld,Browns Plains,-27.673806,153.027323
Qld,Jimboomba,-27.701681,152.967761
Qld,Loganlea - Carbrook,-27.681519,153.186817
Qld,Springwood - Kingston,-27.652812,153.110764
Qld,Bowen Basin - North,-22.771751,149.719215
Qld,Mackay,-21.43004,149.178072
Qld,Whitsunday,-20.808597,149.271699
Qld,Bribie - Beachmere,-26.987776,153.12414
Qld,Caboolture,-27.077933,153.080799
Qld,Caboolture Hinterland,-27.089517,152.321536
Qld,Narangba - Burpengary,-27.186624,152.932083
Qld,Redcliffe,-27.21066448,153.0900858
Qld,Hills District,-27.356025,152.979085
Qld,North Lakes,-27.248337,153.088498
Qld,Strathpine,-27.307845,152.939438
Qld,Far North,-18.028128,145.157257
Qld,Outback - North,-20.79424,144.218437
Qld,Outback - South,-26.23368,147.490282
Qld,Buderim,,
Qld,Caloundra,,
Qld,Maroochy,-26.686321,153.113416
Qld,Nambour - Pomona,-26.700379,153.049784
Qld,Noosa,-26.156837,153.042307
Qld,Sunshine Coast Hinterland,-26.951082,152.987647
Qld,Toowoomba,-27.418572,152.438771
Qld,Charters Towers - Ayr - Ingham,-19.862878,147.416856
Qld,Townsville,-19.227783,146.764659
Qld,Bundaberg,-24.729644,152.088816
Qld,Burnett,-27.480898,152.725408
Qld,Gympie - Cooloola,-26.425754,152.909206
Qld,Hervey Bay,,
Qld,Maryborough,-26.153831,152.616943
WA,Augusta - Margaret River - Busselton,-33.610787,115.0768
WA,Bunbury,-32.946154,115.903112
WA,Manjimup,-33.564872,115.923933
WA,Mandurah,-32.557981,115.728286
WA,Cottesloe - Claremont,-31.985791,115.804692
WA,Perth City,-31.948762,115.859912
WA,Bayswater - Bassendean,-31.938107,115.899589
WA,Mundaring,-31.929036,116.079266
WA,Swan,-31.901801,115.942572
WA,Joondalup,-31.834469,115.774028
WA,Stirling,-31.936389,115.808169
WA,Wanneroo,-31.763347,115.756405
WA,Armadale,,
WA,Belmont - Victoria Park,-31.82796346,115.9734135
WA,Canning,-32.005644,115.904425
WA,Gosnells,-32.06089,115.953584
WA,Kalamunda,-31.838398,116.0261
WA,Serpentine - Jarrahdale,-32.208934,115.916459
WA,South Perth,-31.982199,115.869482
WA,Cockburn,-32.131993,115.854584
WA,Fremantle,-32.038541,115.766561
WA,Kwinana,-32.19598,115.799431
WA,Melville,-32.064941,115.858679
WA,Rockingham,-32.281957,115.75773
WA,Esperance,-33.881306,120.145773
WA,Gascoyne,-26.904889,114.627287
WA,Goldfields,-30.599071,121.446478
WA,Kimberley,-18.773365,122.753792
WA,Mid West,-29.602251,124.856838
WA,Pilbara,-22.133456,115.448968
WA,Albany,-34.312823,116.402179
WA,Wheat Belt - North,-31.379673,115.568551
WA,Wheat Belt - South,-32.514294,115.959595
SA,Adelaide City,-34.92849902,138.600746
SA,Adelaide Hills,-34.857324,138.75703
SA,Burnside,-34.940362,138.633974
SA,Campbelltown (SA),-34.912078,138.696113
SA,Norwood - Payneham - St Peters,-34.919985,138.630575
SA,Prospect - Walkerville,-34.911523,138.584497
SA,Unley,-34.956227,138.58811
SA,Gawler - Two Wells,,
SA,Playford,-34.726229,138.666615
SA,Port Adelaide - East,-34.900496,138.642172
SA,Salisbury,-34.83977,138.657974
SA,Tea Tree Gully,-34.861332,138.675254
SA,Holdfast Bay,,
SA,Marion,-35.005492,138.553853
SA,Mitcham,-34.976263,138.570739
SA,Onkaparinga,-35.007341,138.575023
SA,Charles Sturt,-34.903259,138.56787
SA,Port Adelaide - West,-34.887511,138.559407
SA,West Torrens,-34.948827,138.506052
SA,Barossa,-34.718681,138.754254
SA,Lower North,-33.965473,139.140266
SA,Mid North,-33.252592,138.961232
SA,Yorke Peninsula,-34.061253,137.862942
SA,Eyre Peninsula and South West,-33.530464,136.860876
SA,Outback - North and East,-31.95109636,139.1945693
SA,Fleurieu - Kangaroo Island,-35.091002,138.757945
SA,Limestone Coast,-37.025316,141.269571
SA,Murray and Mallee,-35.62103426,141.4849679
Tas,Brighton,,
Tas,Hobart - North East,-42.83903,147.360174
Tas,Hobart - North West,-42.842607,147.289682
Tas,Hobart - South and West,-43.008052,147.309302
Tas,Hobart Inner,-42.878355,147.308002
Tas,Sorell - Dodges Ferry,-42.730264,147.439671
Tas,Launceston,-41.472435,147.157786
Tas,Meander Valley - West Tamar,-41.293081,146.972023
Tas,North East,-41.788619,147.317089
Tas,Central Highlands (Tas.),-42.833718,147.174382
Tas,Huon - Bruny Island,-43.00658,147.256698
Tas,South East Coast,-43.535913,146.356055
Tas,Burnie - Ulverstone,-41.269708,145.931776
Tas,Devonport,-41.177924,146.783947
Tas,West Coast,-42.544215,146.45502
ACT,Belconnen,-35.257315,149.049796
ACT,Cotter - Namadgi,-35.215386,149.029308
ACT,Fyshwick - Pialligo - Hume,,
ACT,Gungahlin,-35.135588,149.043278
ACT,North Canberra,-35.248071,149.148147
ACT,South Canberra,-35.275863,149.113796
ACT,Tuggeranong,-35.34172619,149.2104515
ACT,Weston Creek,-35.57315758,148.7089956
ACT,Woden,-35.302911,149.201072
NT,Darwin City,-12.458684,130.83668
NT,Darwin Suburbs,-12.428017,130.873315
NT,Litchfield,-12.54686461,131.0234875
NT,Palmerston,-12.45763297,130.9597671
NT,Alice Springs,-23.702291,133.86314
NT,Barkly,-19.641301,134.173599
NT,Daly - Tiwi - West Arnhem,-12.72451307,130.3529386
NT,East Arnhem,-12.50557433,135.7954286
NT,Katherine,-12.43399126,130.7459083
NSW,Goulburn - Yass,-34.711018,148.555243
NSW,Queanbeyan,-34.764484,149.286631
NSW,Snowy Mountains,-36.50661,148.301005
NSW,South Coast,-35.939649,149.912199
NSW,Gosford,-33.482209,151.401999
NSW,Wyong,-33.333187,151.3433
NSW,Bathurst,-34.196526,149.254163
NSW,Lachlan Valley,-33.839275,147.308172
NSW,Lithgow - Mudgee,-31.924969,149.319295
NSW,Orange,-33.634941,149.164475
NSW,Clarence Valley,-29.829194,153.187047
NSW,Coffs Harbour,-30.097726,152.658268
NSW,Bourke - Cobar - Coonamble,-33.24358,146.40002
NSW,Broken Hill and Far West,-31.498123,143.270562
NSW,Dubbo,-31.51588428,149.781025
NSW,Lower Hunter,-32.3438,151.522527
NSW,Maitland,-32.785207,151.453148
NSW,Port Stephens,-32.797453,151.840094
NSW,Upper Hunter,-32.57693,150.564817
NSW,Dapto - Port Kembla,-34.494723,150.873081
NSW,Illawarra Catchment Reserve,,
NSW,Kiama - Shellharbour,-34.548722,150.855135
NSW,Wollongong,-34.423171,150.874294
NSW,Great Lakes,-32.623108,152.332617
NSW,Kempsey - Nambucca,-30.925233,153.053789
NSW,Lord Howe Island,-31.55247,159.081217
NSW,Port Macquarie,-31.654722,152.652155
NSW,Taree - Gloucester,-32.16165072,152.3722113
NSW,Albury,-36.038655,146.930436
NSW,Lower Murray,-33.29624634,141.8018461
NSW,Upper Murray exc. Albury,-35.936556,146.617535
NSW,Armidale,-30.493397,151.906153
NSW,Inverell - Tenterfield,-30.115913,151.673028
NSW,Moree - Narrabri,-30.619798,148.96949
NSW,Tamworth - Gunnedah,-31.735174,151.029159
NSW,Lake Macquarie - East,-33.019715,151.663175
NSW,Lake Macquarie - West,-33.208801,151.377213
NSW,Newcastle,-32.933305,151.651095
NSW,Richmond Valley - Coastal,-29.2343298,153.3210837
NSW,Richmond Valley - Hinterland,-29.05366265,152.5892786
NSW,Tweed Valley,-28.499375,152.88504
NSW,Griffith - Murrumbidgee (West),-33.814887,146.667476
NSW,Tumut - Tumbarumba,-34.75833012,148.9655031
NSW,Wagga Wagga,-34.599488,148.255601
NSW,Shoalhaven,-34.1336,151.1041
NSW,Southern Highlands,-34.583539,150.754592
NSW,Baulkham Hills,-33.735906,151.030535
NSW,Dural - Wisemans Ferry,-33.656984,150.974528
NSW,Hawkesbury,-33.325373,151.189243
NSW,Rouse Hill - McGraths Hill,,
NSW,Blacktown,-33.760263,150.966912
NSW,Blacktown - North,-33.731523,150.931074
NSW,Mount Druitt,-33.742006,150.84746
NSW,Botany,-33.947087,151.197644
NSW,Marrickville - Sydenham - Petersham,-33.926669,151.210791
NSW,Sydney Inner City,-33.794883,151.268071
NSW,Eastern Suburbs - North,-33.88871,151.240508
NSW,Eastern Suburbs - South,-33.888549,151.140735
NSW,Bankstown,-33.908788,150.986277
NSW,Canterbury,-33.907417,151.024581
NSW,Hurstville,-33.94913,151.075304
NSW,Kogarah - Rockdale,-33.935923,151.100027
NSW,Canada Bay,-33.842999,151.151958
NSW,Leichhardt,-33.881624,151.170165
NSW,Strathfield - Burwood - Ashfield,-33.89194485,151.0477059
NSW,Chatswood - Lane Cove,-33.812636,151.214797
NSW,Hornsby,-33.707684,151.099812
NSW,Ku-ring-gai,-33.780246,151.195368
NSW,North Sydney - Mosman,-33.865367,151.193071
NSW,Manly,-33.329799,151.505125
NSW,Pittwater,-33.698773,151.216799
NSW,Warringah,-33.793137,151.246751
NSW,Camden,,
NSW,Campbelltown (NSW),-33.960035,150.802088
NSW,Wollondilly,-34.194216,150.768408
NSW,Blue Mountains,-33.483614,150.601824
NSW,Blue Mountains - South,-34.726283,149.729215
NSW,Penrith,-33.77413222,150.7376907
NSW,Richmond - Windsor,-33.604022,150.646053
NSW,St Marys,-33.859047,151.19554
NSW,Auburn,-33.82328,151.051375
NSW,Carlingford,-33.950299,151.206982
NSW,Merrylands - Guildford,-33.858335,150.983724
NSW,Parramatta,-33.886166,151.139472
NSW,Pennant Hills - Epping,-33.758433,151.049106
NSW,Ryde - Hunters Hill,-33.7932,151.12
NSW,Bringelly - Green Valley,-33.933109,150.812031
NSW,Fairfield,-33.8498,150.911
NSW,Liverpool,-33.888327,151.103632
NSW,Cronulla - Miranda - Caringbah,-34.035878,151.107201
NSW,Sutherland - Menai - Heathcote,-34.015705,151.0622
Vic,Ballarat,-37.571941,143.864505
Vic,Creswick - Daylesford - Ballan,-37.5878,144.123664
Vic,Maryborough - Pyrenees,-37.252718,143.815613
Vic,Bendigo,-36.764269,144.285267
Vic,Heathcote - Castlemaine - Kyneton,-37.334655,143.907186
Vic,Loddon - Elmore,-36.957983,144.05651
Vic,Barwon - West,-38.263005,144.174411
Vic,Geelong,-38.039958,144.422666
Vic,Surf Coast - Bellarine Peninsula,-38.215906,144.334005
Vic,Upper Goulburn Valley,-37.171788,144.544716
Vic,Wangaratta - Benalla,-36.786777,145.565512
Vic,Wodonga - Alpine,-36.016196,147.026549
Vic,Baw Baw,-38.096289,145.867337
Vic,Gippsland - East,-36.865206,148.701564
Vic,Gippsland - South West,-38.290637,146.175271
Vic,Latrobe Valley,-38.245215,146.424457
Vic,Wellington,-36.894465,146.256507
Vic,Brunswick - Coburg,-37.766292,144.960108
Vic,Darebin - South,-37.759426,145.007006
Vic,Essendon,-37.766184,144.922995
Vic,Melbourne City,-37.81443733,144.9825846
Vic,Port Phillip,-37.81443733,144.9825846
Vic,Stonnington - West,-37.840679,144.991264
Vic,Yarra,-37.786971,144.96724
Vic,Boroondara,-37.807397,145.036575
Vic,Manningham - West,-37.758335,145.142675
Vic,Whitehorse - West,-37.793695,145.081714
Vic,Bayside,-37.915066,144.996329
Vic,Glen Eira,-37.873733,145.019929
Vic,Kingston,-37.942021,145.047802
Vic,Stonnington - East,-37.822725,145.030602
Vic,Banyule,-37.772675,145.048573
Vic,Darebin - North,-37.74247,145.005702
Vic,Nillumbik - Kinglake,-37.711787,145.082426
Vic,Whittlesea - Wallan,-37.66607,145.002679
Vic,Keilor,-37.761235,144.86194
Vic,Macedon Ranges,-37.448455,144.792581
Vic,Moreland - North,-37.731464,144.904815
Vic,Sunbury,-37.56762,144.728973
Vic,Tullamarine - Broadmeadows,-37.691916,144.888368
Vic,Knox,-37.864951,145.221695
Vic,Manningham - East,-37.784786,145.161649
Vic,Maroondah,-37.778595,145.212599
Vic,Whitehorse - East,-37.817798,145.174489
Vic,Yarra Ranges,-37.737629,145.313086
Vic,Cardinia,-37.814506,145.532666
Vic,Casey - North,-37.917932,145.292895
Vic,Casey - South,-38.037026,145.304198
Vic,Dandenong,-38.02243,145.23738
Vic,Monash,-37.851305,145.101
Vic,Brimbank,-37.777204,144.829945
Vic,Hobsons Bay,-37.838242,144.880556
Vic,Maribyrnong,-37.807101,144.907953
Vic,Melton - Bacchus Marsh,-37.78272,144.770641
Vic,Wyndham,-37.75045631,144.649936
Vic,Frankston,-38.072748,145.134111
Vic,Mornington Peninsula,-38.162578,145.135961
Vic,Grampians,-36.873961,141.051389
Vic,Mildura,-34.164709,142.225122
Vic,Murray River - Swan Hill,-33.81289825,142.6742276
Vic,Campaspe,-35.893394,144.641831
Vic,Moira,-35.754185,145.872814
Vic,Shepparton,-36.740713,145.095753
Vic,Glenelg - Southern Grampians,-38.038873,141.051987
Vic,Warrnambool - Otway Ranges,-37.9406,144.2894
Qld,Capalaba,-27.5181,153.156446
Qld,Cleveland - Stradbroke,-27.162277,153.393497
Qld,Wynnum - Manly,-27.49069,153.158727
Qld,Bald Hills - Everton Park,,
Qld,Chermside,-27.385605,153.019449
Qld,Nundah,-27.38837225,153.1132012
Qld,Sandgate,-27.318074,153.047339
Qld,Carindale,-27.510035,153.131429
Qld,Holland Park - Yeronga,-27.515758,153.011535
Qld,Mt Gravatt,-27.558858,153.154177
Qld,Nathan,-27.512175,153.028768
Qld,Rocklea - Acacia Ridge,-27.534438,153.018893
Qld,Sunnybank,-27.568359,153.020197
Qld,Centenary,-27.549179,152.951385
Qld,Kenmore - Brookfield - Moggill,,
Qld,Sherwood - Indooroopilly,-27.500518,153.005045
Qld,The Gap - Enoggera,,
Qld,Brisbane Inner,-27.484254,153.009661
Qld,Brisbane Inner - East,-27.495458,153.0328
Qld,Brisbane Inner - North,-27.470078,153.045194
Qld,Brisbane Inner - West,-27.468391,153.022126
Qld,Cairns - North,-16.839378,145.711531
Qld,Cairns - South,-17.095516,145.782765
Qld,Innisfail - Cassowary Coast,-18.265652,146.027929
Qld,Port Douglas - Daintree,-16.230854,145.299094
Qld,Tablelands (East) - Kuranda,-28.8531,151.6717
Qld,Darling Downs (West) - Maranoa,-28.893724,148.847796
Qld,Darling Downs - East,-27.256984,151.904578
Qld,Granite Belt,-28.96166715,151.7288939
Qld,Central Highlands (Qld),-23.059653,148.429161
Qld,Gladstone - Biloela,-26.14972587,149.5515967
Qld,Rockhampton,-23.657893,150.643168
Qld,Broadbeach - Burleigh,,
Qld,Coolangatta,-28.184241,153.526816
Qld,Gold Coast - North,,
Qld,Gold Coast Hinterland,-28.38059,153.31648
Qld,Mudgeeraba - Tallebudgera,-28.127323,153.45837
Qld,Nerang,-28.110164,153.318916
Qld,Ormeau - Oxenford,-27.767029,153.27631
Qld,Robina,-28.035453,153.241258
Qld,Southport,-27.967005,153.365576
Qld,Surfers Paradise,-28.008783,153.412197
Qld,Forest Lake - Oxley,-27.554082,152.921521
Qld,Ipswich Hinterland,-27.851804,152.592399
Qld,Ipswich Inner,-27.502784,152.898911
Qld,Springfield - Redbank,-27.682273,152.884999
Qld,Beaudesert,-28.111411,153.134987
Qld,Beenleigh,,
Qld,Browns Plains,-27.673806,153.027323
Qld,Jimboomba,-27.701681,152.967761
Qld,Loganlea - Carbrook,-27.681519,153.186817
Qld,Springwood - Kingston,-27.652812,153.110764
Qld,Bowen Basin - North,-22.771751,149.719215
Qld,Mackay,-21.43004,149.178072
Qld,Whitsunday,-20.808597,149.271699
Qld,Bribie - Beachmere,-26.987776,153.12414
Qld,Caboolture,-27.077933,153.080799
Qld,Caboolture Hinterland,-27.089517,152.321536
Qld,Narangba - Burpengary,-27.186624,152.932083
Qld,Redcliffe,-27.21066448,153.0900858
Qld,Hills District,-27.356025,152.979085
Qld,North Lakes,-27.248337,153.088498
Qld,Strathpine,-27.307845,152.939438
Qld,Far North,-18.028128,145.157257
Qld,Outback - North,-20.79424,144.218437
Qld,Outback - South,-26.23368,147.490282
Qld,Buderim,,
Qld,Caloundra,,
Qld,Maroochy,-26.686321,153.113416
Qld,Nambour - Pomona,-26.700379,153.049784
Qld,Noosa,-26.156837,153.042307
Qld,Sunshine Coast Hinterland,-26.951082,152.987647
Qld,Toowoomba,-27.418572,152.438771
Qld,Charters Towers - Ayr - Ingham,-19.862878,147.416856
Qld,Townsville,-19.227783,146.764659
Qld,Bundaberg,-24.729644,152.088816
Qld,Burnett,-27.480898,152.725408
Qld,Gympie - Cooloola,-26.425754,152.909206
Qld,Hervey Bay,,
Qld,Maryborough,-26.153831,152.616943
WA,Augusta - Margaret River - Busselton,-33.610787,115.0768
WA,Bunbury,-32.946154,115.903112
WA,Manjimup,-33.564872,115.923933
WA,Mandurah,-32.557981,115.728286
