States_and_territories,Year,Invited,Responsed,Crude_rate
NSW,2019,99197,12752,12.85522748
Vic,2019,73422,11710,15.94889815
Qld,2019,50113,7466,14.89832977
WA,2019,29347,4729,16.11408321
SA,2019,14511,2720,18.7444008
Tas,2019,3860,741,19.19689119
ACT,2019,8536,718,8.411433927
NT,2019,3827,447,11.68016723
NSW,2020,63285,6672,10.54278265
Vic,2020,48874,5163,10.56389901
Qld,2020,33854,3707,10.9499616
WA,2020,17011,1921,11.29269296
SA,2020,10254,1342,13.08757558
Tas,2020,2719,380,13.97572637
ACT,2020,3783,414,10.94369548
NT,2020,2091,207,9.899569584
NSW,2021,648330,46234,7.131244891
Vic,2021,468058,40261,8.601711754
Qld,2021,367877,33099,8.997300728
WA,2021,178929,16847,9.41546647
SA,2021,112031,10067,8.985905687
Tas,2021,32594,3599,11.04190955
ACT,2021,34379,2841,8.263765671
NT,2021,21237,1609,7.57639968
NSW,2022,558051,77628,13.91055656
Vic,2022,390484,68074,17.4332367
Qld,2022,291498,50590,17.35517911
WA,2022,145668,27514,18.88815663
SA,2022,102217,18717,18.31104415
Tas,2022,31507,6591,20.91916082
ACT,2022,37078,4991,13.46081234
NT,2022,18188,2147,11.80448647